SMILES,MW,LogP,TPSA,HBA,HBD,cluster,x_umap,y_umap,Cluster_ID
CN1CCC[C@H]1c1cccnc1,162.23600000000002,1.8483,16.130000000000003,2,0,152,1.4555721,1.2187395,152
CN(C)CCC=C1c2ccccc2CCc2ccccc21,277.411,4.168600000000003,3.24,1,0,73,0.097316146,-0.66444534,73
CNC(C)Cc1ccc2c(c1)OCO2,193.24599999999995,1.5656999999999996,30.490000000000002,3,1,380,-0.08629114,1.7606289,380
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,326.8310000000001,3.7227000000000023,30.869999999999997,4,1,980,1.024846,-0.34868544,980
CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,361.3970000000001,4.112400000000003,65.49000000000001,5,0,979,2.5028064,-0.7136114,979
CN(C)CCC=C1c2ccccc2CCc2ccccc21.Cl,313.872,4.590400000000005,3.24,1,0,71,0.10672342,-0.666746,71
CN1CCN2c3ccccc3Cc3ccccc3C2C1.Cl,300.833,3.505700000000003,6.48,2,0,379,1.0989739,0.74524033,379
CNC(C)Cc1ccc2c(c1)OCO2.Cl,229.70699999999997,1.9875000000000003,30.490000000000002,3,1,380,-0.078066975,1.7800366,380
Cn1c(=O)c2[nH]cnc2n(C)c1=O,180.167,-1.0397000000000005,72.68,5,1,978,1.9758439,-1.685243,978
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,339.39100000000013,3.860000000000003,49.81,5,0,27,3.4387364,-1.1543822,27
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,284.74600000000004,3.1538000000000013,32.67,2,0,977,1.2730417,-1.1034175,977
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,407.5050000000001,4.945600000000004,9.72,4,0,12,0.632835,-0.17510085,12
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,270.354,1.78302,75.27000000000001,3,2,976,4.6949635,-0.4783411,976
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,318.87300000000005,4.894400000000004,6.48,3,0,32,0.59999174,-0.59483534,32
CCCC(CCC)C(=O)O,144.214,2.2874,37.3,1,1,975,6.261504,0.9353131,975
CNCCCN1c2ccccc2CCc2ccccc21,266.388,3.5328000000000026,15.27,2,1,377,0.7029054,-0.6447024,377
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,204.22899999999996,1.1222999999999996,79.11,2,3,974,6.451596,-0.31894085,974
Cn1cnc2c1c(=O)[nH]c(=O)n2C,180.16699999999997,-1.0397,72.68,5,1,973,1.9401634,-1.7777207,973
O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,379.43500000000006,3.6784000000000026,58.1,4,1,972,1.9074565,0.5777123,972
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,608.6880000000003,4.171100000000004,117.78000000000002,10,1,168,0.90051633,1.7731407,168
NNC(=O)c1ccncc1,137.14199999999997,-0.3149000000000001,68.01,3,2,971,5.0091996,-1.1357045,971
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,268.356,4.828600000000005,40.46,2,2,970,4.496006,-2.1091554,970
N[C@@H]1CONC1=O,102.093,-1.6248999999999993,64.35,3,2,969,3.2349815,2.0521274,969
CNCCC=C1c2ccccc2CCc2ccccc21,263.38399999999996,3.826400000000003,12.03,1,1,968,0.20991215,-0.6287779,968
NC(=O)c1cnccn1,123.115,-0.42450000000000004,68.87,3,1,967,5.1062284,-1.1969777,967
Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,518.5620000000004,6.382240000000009,155.51999999999998,8,6,366,4.5973287,-0.1561593,366
COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,414.4100000000002,2.4092000000000007,92.68,8,1,966,0.08938971,2.3861122,966
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,197.19,0.05219999999999969,103.78,4,4,965,6.1787443,-0.18920892,965
C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,266.34,4.604600000000005,40.46,2,2,964,4.480691,-2.146088,964
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,270.719,3.129500000000001,41.46,2,1,963,1.3271897,-1.1668589,963
CN=C(NC#N)NCCSCc1nc[nH]c1C,252.347,0.5973999999999998,88.88999999999999,4,3,962,2.276881,-1.9219738,962
CCc1cc(C(N)=S)ccn1,166.24899999999997,1.2782,38.91,2,1,961,4.3030324,-1.1130254,961
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,287.359,1.8503000000000003,41.93000000000001,4,1,316,0.284736,2.962944,316
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,371.87200000000007,2.3617,45.78,6,0,373,0.8641897,-0.07198024,373
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,314.86,4.528400000000004,6.48,2,0,33,0.64765483,-0.6316615,33
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,248.307,1.6838,86.18,4,2,960,5.883176,-1.2449148,960
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,494.01300000000026,3.641700000000002,113.6,5,3,959,4.2200766,-0.3320208,959
Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,254.24599999999998,-2.2130999999999985,102.28,8,2,222,1.8861973,-1.7469674,222
CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,314.41100000000006,1.4589999999999996,83.58,7,2,958,2.5967891,-2.053615,958
NC(=O)N1c2ccccc2C=Cc2ccccc21,236.27399999999997,3.3872000000000018,46.33,1,1,957,5.3143244,-1.0507784,957
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,258.233,0.08779999999999943,83.55000000000001,4,1,956,1.6191516,1.4100902,956
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,318.32800000000003,3.5601000000000016,66.76,4,2,955,4.0996337,2.3090656,955
NC12CC3CC(CC(C3)C1)C2,151.253,1.9139000000000002,26.02,1,1,341,2.270694,2.451518,341
CN(C)CCCN1c2ccccc2CCc2ccccc21,280.415,3.8750000000000027,6.48,2,0,33,0.58807117,-0.68494684,33
Nc1ccc(C(=O)O)c(O)c1,153.137,0.6726,83.55,3,3,954,4.9117956,-1.0095232,954
NNCCc1ccccc1,136.19799999999998,0.6924000000000001,38.05,2,2,371,5.4050136,-0.3696064,371
O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,240.21399999999997,1.8731999999999993,74.6,4,2,953,4.148473,2.4290426,953
CC(C)NCC(O)c1ccc(O)c(O)c1,211.261,1.1291999999999998,72.72,4,4,305,4.91227,-3.142182,305
CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,309.4940000000001,4.402200000000004,29.54,3,0,338,3.5029473,0.34875414,338
OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,301.47399999999993,4.330500000000005,23.47,2,1,30,2.0668058,0.77985823,30
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,375.87100000000004,4.425600000000004,40.54,3,1,952,1.9693183,0.5931074,952
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,403.9790000000002,3.9427000000000034,29.950000000000003,5,1,34,0.6294488,-0.19128832,34
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,276.745,1.7379,75.27000000000001,3,2,951,4.689982,-0.47775874,951
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,208.26100000000002,1.1618000000000002,44.12,4,0,252,1.9526144,-2.247369,252
CC[C@@H](CO)NCCN[C@@H](CC)CO,204.314,-0.292599999999999,64.52,4,4,279,4.9414587,-2.5431058,279
CC12CC3CC(C)(C1)CC(N)(C3)C2,179.307,2.6941000000000006,26.02,1,1,950,2.4198604,2.508199,950
Nc1c2c(nc3ccccc13)CCCC2,198.26899999999995,2.6958,38.91,2,1,292,5.265073,-0.5731701,292
