index,top5_indices,top5_tanimoto
0,"[np.int64(1171), np.int64(301), np.int64(1440), np.int64(187), np.int64(515)]","[0.7435897435897436, 0.5641025641025641, 0.46808510638297873, 0.3157894736842105, 0.2727272727272727]"
1,"[np.int64(5), np.int64(138), np.int64(143), np.int64(92), np.int64(23)]","[0.9666666666666667, 0.7027027027027027, 0.6842105263157895, 0.6285714285714286, 0.6111111111111112]"
2,"[np.int64(7), np.int64(88), np.int64(1153), np.int64(890), np.int64(868)]","[0.967741935483871, 0.6571428571428571, 0.6388888888888888, 0.4864864864864865, 0.45714285714285713]"
3,"[np.int64(68), np.int64(93), np.int64(132), np.int64(34), np.int64(78)]","[0.42105263157894735, 0.3728813559322034, 0.34328358208955223, 0.3389830508474576, 0.3333333333333333]"
4,"[np.int64(639), np.int64(986), np.int64(572), np.int64(477), np.int64(1039)]","[0.36538461538461536, 0.35714285714285715, 0.35714285714285715, 0.3559322033898305, 0.3469387755102041]"
5,"[np.int64(1), np.int64(143), np.int64(138), np.int64(96), np.int64(92)]","[0.9666666666666667, 0.7105263157894737, 0.6842105263157895, 0.6388888888888888, 0.6111111111111112]"
6,"[np.int64(71), np.int64(663), np.int64(807), np.int64(144), np.int64(459)]","[0.9696969696969697, 0.32, 0.3125, 0.30357142857142855, 0.29411764705882354]"
7,"[np.int64(2), np.int64(1153), np.int64(88), np.int64(890), np.int64(1078)]","[0.967741935483871, 0.6666666666666666, 0.6388888888888888, 0.47368421052631576, 0.4722222222222222]"
8,"[np.int64(921), np.int64(818), np.int64(191), np.int64(976), np.int64(936)]","[0.6216216216216216, 0.4722222222222222, 0.47058823529411764, 0.40476190476190477, 0.4]"
9,"[np.int64(539), np.int64(646), np.int64(996), np.int64(338), np.int64(60)]","[0.9714285714285714, 0.725, 0.7073170731707317, 0.3333333333333333, 0.29545454545454547]"
10,"[np.int64(110), np.int64(29), np.int64(112), np.int64(86), np.int64(89)]","[0.5918367346938775, 0.5416666666666666, 0.509090909090909, 0.38181818181818183, 0.29508196721311475]"
11,"[np.int64(108), np.int64(58), np.int64(101), np.int64(93), np.int64(79)]","[0.9777777777777777, 0.8163265306122449, 0.8, 0.7142857142857143, 0.6666666666666666]"
12,"[np.int64(52), np.int64(69), np.int64(394), np.int64(478), np.int64(36)]","[0.625, 0.5, 0.38095238095238093, 0.3783783783783784, 0.3382352941176471]"
13,"[np.int64(66), np.int64(129), np.int64(79), np.int64(136), np.int64(93)]","[0.7837837837837838, 0.7631578947368421, 0.6956521739130435, 0.6808510638297872, 0.6382978723404256]"
14,"[np.int64(87), np.int64(289), np.int64(892), np.int64(722), np.int64(712)]","[0.5454545454545454, 0.32, 0.3, 0.3, 0.2962962962962963]"
15,"[np.int64(83), np.int64(43), np.int64(85), np.int64(34), np.int64(78)]","[0.9666666666666667, 0.6111111111111112, 0.5945945945945946, 0.4888888888888889, 0.4782608695652174]"
16,"[np.int64(970), np.int64(1163), np.int64(1375), np.int64(1409), np.int64(938)]","[0.6046511627906976, 0.5555555555555556, 0.5471698113207547, 0.5178571428571429, 0.5]"
17,"[np.int64(399), np.int64(191), np.int64(456), np.int64(936), np.int64(8)]","[0.5588235294117647, 0.5151515151515151, 0.37777777777777777, 0.3333333333333333, 0.3]"
18,"[np.int64(145), np.int64(50), np.int64(62), np.int64(120), np.int64(754)]","[0.43478260869565216, 0.40298507462686567, 0.39436619718309857, 0.2839506172839506, 0.2753623188405797]"
19,"[np.int64(1111), np.int64(1231), np.int64(930), np.int64(1028), np.int64(1305)]","[1.0, 0.5189873417721519, 0.5189873417721519, 0.5125, 0.5125]"
20,"[np.int64(1119), np.int64(72), np.int64(1152), np.int64(265), np.int64(285)]","[0.5833333333333334, 0.5161290322580645, 0.45714285714285713, 0.36, 0.35294117647058826]"
21,"[np.int64(1029), np.int64(28), np.int64(205), np.int64(443), np.int64(244)]","[0.48, 0.4583333333333333, 0.4090909090909091, 0.34782608695652173, 0.3333333333333333]"
22,"[np.int64(252), np.int64(912), np.int64(421), np.int64(312), np.int64(1296)]","[0.21621621621621623, 0.2, 0.2, 0.19444444444444445, 0.19148936170212766]"
23,"[np.int64(1), np.int64(5), np.int64(138), np.int64(143), np.int64(15)]","[0.6111111111111112, 0.5945945945945946, 0.4318181818181818, 0.4222222222222222, 0.4146341463414634]"
24,"[np.int64(187), np.int64(20), np.int64(278), np.int64(290), np.int64(1035)]","[0.3548387096774194, 0.2727272727272727, 0.2647058823529412, 0.25806451612903225, 0.2553191489361702]"
25,"[np.int64(141), np.int64(478), np.int64(415), np.int64(164), np.int64(250)]","[0.8918918918918919, 0.21428571428571427, 0.20454545454545456, 0.1951219512195122, 0.1864406779661017]"
26,"[np.int64(1059), np.int64(1399), np.int64(1045), np.int64(1419), np.int64(852)]","[0.36619718309859156, 0.3116883116883117, 0.3103448275862069, 0.3076923076923077, 0.3050847457627119]"
27,"[np.int64(938), np.int64(973), np.int64(743), np.int64(689), np.int64(1038)]","[0.5806451612903226, 0.5757575757575758, 0.5757575757575758, 0.53125, 0.5]"
28,"[np.int64(21), np.int64(205), np.int64(1029), np.int64(443), np.int64(989)]","[0.4583333333333333, 0.42857142857142855, 0.38461538461538464, 0.36363636363636365, 0.3448275862068966]"
29,"[np.int64(86), np.int64(10), np.int64(440), np.int64(77), np.int64(110)]","[0.574468085106383, 0.5416666666666666, 0.5192307692307693, 0.4423076923076923, 0.38181818181818183]"
30,"[np.int64(38), np.int64(178), np.int64(615), np.int64(8), np.int64(269)]","[0.2222222222222222, 0.1774193548387097, 0.1746031746031746, 0.1694915254237288, 0.16666666666666666]"
31,"[np.int64(20), np.int64(105), np.int64(869), np.int64(1016), np.int64(72)]","[0.2631578947368421, 0.24390243902439024, 0.23809523809523808, 0.23404255319148937, 0.23255813953488372]"
32,"[np.int64(616), np.int64(1214), np.int64(1405), np.int64(1455), np.int64(1436)]","[0.9795918367346939, 0.4117647058823529, 0.2916666666666667, 0.2916666666666667, 0.2727272727272727]"
33,"[np.int64(103), np.int64(93), np.int64(132), np.int64(51), np.int64(176)]","[0.9791666666666666, 0.3384615384615385, 0.3333333333333333, 0.3333333333333333, 0.26666666666666666]"
34,"[np.int64(78), np.int64(43), np.int64(85), np.int64(13), np.int64(66)]","[0.9743589743589743, 0.7631578947368421, 0.7435897435897436, 0.6304347826086957, 0.5227272727272727]"
35,"[np.int64(202), np.int64(943), np.int64(394), np.int64(496), np.int64(793)]","[0.65, 0.5, 0.4642857142857143, 0.43333333333333335, 0.40625]"
36,"[np.int64(52), np.int64(100), np.int64(75), np.int64(137), np.int64(12)]","[0.40625, 0.3888888888888889, 0.38461538461538464, 0.3835616438356164, 0.3382352941176471]"
37,"[np.int64(936), np.int64(191), np.int64(456), np.int64(8), np.int64(921)]","[0.7105263157894737, 0.5128205128205128, 0.36538461538461536, 0.35555555555555557, 0.35294117647058826]"
38,"[np.int64(444), np.int64(30), np.int64(52), np.int64(349), np.int64(125)]","[0.25396825396825395, 0.2222222222222222, 0.2222222222222222, 0.21686746987951808, 0.21428571428571427]"
39,"[np.int64(290), np.int64(1263), np.int64(302), np.int64(1002), np.int64(793)]","[0.3225806451612903, 0.30303030303030304, 0.2777777777777778, 0.2727272727272727, 0.2682926829268293]"
40,"[np.int64(301), np.int64(505), np.int64(466), np.int64(317), np.int64(161)]","[0.2708333333333333, 0.2631578947368421, 0.2542372881355932, 0.24561403508771928, 0.24444444444444444]"
41,"[np.int64(369), np.int64(417), np.int64(46), np.int64(389), np.int64(902)]","[0.2777777777777778, 0.2708333333333333, 0.2702702702702703, 0.2608695652173913, 0.2564102564102564]"
42,"[np.int64(536), np.int64(55), np.int64(917), np.int64(738), np.int64(419)]","[0.9285714285714286, 0.45454545454545453, 0.16129032258064516, 0.16, 0.14814814814814814]"
43,"[np.int64(85), np.int64(34), np.int64(78), np.int64(66), np.int64(15)]","[0.9666666666666667, 0.7631578947368421, 0.7435897435897436, 0.6111111111111112, 0.6111111111111112]"
44,"[np.int64(1119), np.int64(208), np.int64(446), np.int64(309), np.int64(949)]","[0.6111111111111112, 0.5, 0.4482758620689655, 0.4444444444444444, 0.4375]"
45,"[np.int64(114), np.int64(436), np.int64(302), np.int64(117), np.int64(544)]","[0.76, 0.35714285714285715, 0.3548387096774194, 0.3548387096774194, 0.3333333333333333]"
46,"[np.int64(902), np.int64(676), np.int64(944), np.int64(329), np.int64(525)]","[0.5384615384615384, 0.5384615384615384, 0.5185185185185185, 0.3611111111111111, 0.35135135135135137]"
47,"[np.int64(669), np.int64(724), np.int64(985), np.int64(80), np.int64(1101)]","[0.9655172413793104, 0.6875, 0.6111111111111112, 0.6060606060606061, 0.5945945945945946]"
48,"[np.int64(540), np.int64(1009), np.int64(991), np.int64(403), np.int64(797)]","[0.9714285714285714, 0.45098039215686275, 0.4423076923076923, 0.4423076923076923, 0.3709677419354839]"
49,"[np.int64(98), np.int64(736), np.int64(670), np.int64(668), np.int64(1053)]","[1.0, 0.9714285714285714, 0.9714285714285714, 0.631578947368421, 0.5333333333333333]"
50,"[np.int64(145), np.int64(224), np.int64(163), np.int64(18), np.int64(754)]","[0.5166666666666667, 0.45161290322580644, 0.4444444444444444, 0.40298507462686567, 0.3333333333333333]"
51,"[np.int64(93), np.int64(58), np.int64(101), np.int64(132), np.int64(13)]","[0.8, 0.72, 0.7058823529411765, 0.6981132075471698, 0.5918367346938775]"
52,"[np.int64(12), np.int64(36), np.int64(394), np.int64(69), np.int64(1065)]","[0.625, 0.40625, 0.3902439024390244, 0.3829787234042553, 0.35714285714285715]"
53,"[np.int64(824), np.int64(1456), np.int64(1439), np.int64(301), np.int64(590)]","[0.8372093023255814, 0.6136363636363636, 0.5294117647058824, 0.21428571428571427, 0.20967741935483872]"
